T(sec)	WE1 Volts(mV)	WE1 Idir(mA)	WE1 Idif (mA)	
126.6600	-47.996	-0.008913	
126.6800	-48.994	-0.008927	
126.7000	-49.995	-0.008942	
126.7200	-50.990	-0.008959	
126.7400	-51.985	-0.008974	
126.7600	-52.985	-0.008991	
126.7800	-53.982	-0.009007	
126.8000	-54.980	-0.009026	
126.8200	-55.973	-0.009042	
126.8400	-56.969	-0.009052	
126.8600	-57.966	-0.009064	
126.8800	-58.962	-0.009076	
126.9000	-59.960	-0.009087	
126.9200	-60.961	-0.009105	
126.9400	-61.958	-0.009121	
126.9600	-62.960	-0.009142	
126.9800	-63.958	-0.009162	
127.0000	-64.955	-0.009178	
127.0200	-65.949	-0.009195	
127.0400	-66.948	-0.009210	
127.0600	-67.945	-0.009225	
127.0800	-68.944	-0.009236	
127.1000	-69.943	-0.009250	
127.1200	-70.945	-0.009264	
127.1400	-71.947	-0.009280	
127.1600	-72.947	-0.009297	
127.1800	-73.949	-0.009318	
127.2000	-74.949	-0.009337	
127.2200	-75.949	-0.009356	
127.2400	-76.943	-0.009371	
127.2600	-77.939	-0.009382	
127.2800	-78.931	-0.009392	
127.3000	-79.925	-0.009404	
127.3200	-80.921	-0.009420	
127.3400	-81.917	-0.009436	
127.3600	-82.914	-0.009454	
127.3800	-83.914	-0.009469	
127.4000	-84.909	-0.009489	
127.4200	-85.906	-0.009509	
127.4400	-86.902	-0.009527	
127.4600	-87.898	-0.009543	
127.4800	-88.897	-0.009556	
127.5000	-89.890	-0.009567	
127.5200	-90.884	-0.009578	
127.5400	-91.879	-0.009586	
127.5600	-92.876	-0.009599	
127.5800	-93.875	-0.009617	
127.6000	-94.876	-0.009636	
127.6200	-95.879	-0.009653	
127.6400	-96.879	-0.009669	
127.6600	-97.877	-0.009681	
127.6800	-98.872	-0.009691	
127.7000	-99.864	-0.009703	
127.7200	-100.862	-0.009713	
127.7400	-101.859	-0.009722	
127.7600	-102.855	-0.009734	
127.7800	-103.852	-0.009745	
127.8000	-104.844	-0.009759	
127.8200	-105.839	-0.009775	
127.8400	-106.839	-0.009790	
127.8600	-107.834	-0.009807	
127.8800	-108.834	-0.009822	
127.9000	-109.831	-0.009835	
127.9200	-110.825	-0.009841	
127.9400	-111.819	-0.009848	
127.9600	-112.814	-0.009857	
127.9800	-113.812	-0.009869	
128.0000	-114.812	-0.009887	
128.0200	-115.813	-0.009903	
128.0400	-116.813	-0.009919	
128.0600	-117.811	-0.009934	
128.0800	-118.811	-0.009946	
128.1000	-119.811	-0.009957	
128.1200	-120.814	-0.009966	
128.1400	-121.818	-0.009972	
128.1600	-122.817	-0.009978	
128.1800	-123.818	-0.009989	
128.2000	-124.819	-0.010000	
128.2200	-125.818	-0.010013	
128.2400	-126.818	-0.010027	
128.2600	-127.817	-0.010044	
128.2800	-128.816	-0.010058	
128.3000	-129.814	-0.010070	
128.3200	-130.809	-0.010077	
128.3400	-131.805	-0.010085	
128.3600	-132.799	-0.010091	
128.3800	-133.796	-0.010100	
128.4000	-134.795	-0.010110	
128.4200	-135.792	-0.010123	
128.4400	-136.791	-0.010140	
128.4600	-137.786	-0.010155	
128.4800	-138.781	-0.010171	
128.5000	-139.777	-0.010182	
128.5200	-140.773	-0.010188	
128.5400	-141.770	-0.010194	
128.5600	-142.763	-0.010206	
128.5800	-143.762	-0.010215	
128.6000	-144.759	-0.010225	
128.6200	-145.757	-0.010239	
128.6400	-146.757	-0.010251	
128.6600	-147.760	-0.010267	
128.6800	-148.760	-0.010283	
128.7000	-149.757	-0.010296	
128.7200	-150.754	-0.010309	
128.7400	-151.751	-0.010322	
128.7600	-152.746	-0.010331	
128.7800	-153.742	-0.010338	
128.8000	-154.738	-0.010348	
128.8200	-155.733	-0.010358	
128.8400	-156.727	-0.010374	
128.8600	-157.720	-0.010393	
128.8800	-158.720	-0.010404	
128.9000	-159.717	-0.010418	
128.9200	-160.716	-0.010431	
128.9400	-161.712	-0.010440	
128.9600	-162.706	-0.010448	
128.9800	-163.703	-0.010457	
129.0000	-164.701	-0.010466	
129.0200	-165.701	-0.010477	
129.0400	-166.699	-0.010491	
129.0600	-167.696	-0.010500	
129.0800	-168.693	-0.010513	
129.1000	-169.691	-0.010530	
129.1200	-170.688	-0.010544	
129.1400	-171.691	-0.010559	
129.1600	-172.692	-0.010571	
129.1800	-173.695	-0.010578	
129.2000	-174.693	-0.010589	
129.2200	-175.687	-0.010599	
129.2400	-176.686	-0.010608	
129.2600	-177.684	-0.010623	
129.2800	-178.687	-0.010640	
129.3000	-179.683	-0.010652	
129.3200	-180.677	-0.010667	
129.3400	-181.669	-0.010678	
129.3600	-182.664	-0.010689	
129.3800	-183.659	-0.010701	
129.4000	-184.653	-0.010710	
129.4200	-185.653	-0.010717	
129.4400	-186.651	-0.010728	
129.4600	-187.643	-0.010739	
129.4800	-188.638	-0.010753	
129.5000	-189.630	-0.010768	
129.5200	-190.627	-0.010780	
129.5400	-191.624	-0.010796	
129.5600	-192.620	-0.010808	
129.5800	-193.612	-0.010819	
129.6000	-194.598	-0.010831	
129.6200	-195.590	-0.010841	
129.6400	-196.584	-0.010850	
129.6600	-197.583	-0.010862	
129.6800	-198.583	-0.010874	
129.7000	-199.578	-0.010888	
129.7200	-200.577	-0.010905	
129.7400	-201.569	-0.010922	
129.7600	-202.566	-0.010936	
129.7800	-203.561	-0.010947	
129.8000	-204.557	-0.010957	
129.8200	-205.552	-0.010968	
129.8400	-206.541	-0.010979	
129.8600	-207.536	-0.010989	
129.8800	-208.531	-0.011002	
129.9000	-209.530	-0.011014	
129.9200	-210.534	-0.011027	
129.9400	-211.535	-0.011042	
129.9600	-212.534	-0.011058	
129.9800	-213.530	-0.011075	
130.0000	-214.526	-0.011087	
130.0200	-215.526	-0.011100	
130.0400	-216.523	-0.011107	
130.0600	-217.523	-0.011117	
130.0800	-218.519	-0.011128	
130.1000	-219.522	-0.011143	
130.1200	-220.521	-0.011156	
130.1400	-221.523	-0.011169	
130.1600	-222.530	-0.011184	
130.1800	-223.530	-0.011200	
130.2000	-224.534	-0.011214	
130.2200	-225.534	-0.011227	
130.2400	-226.533	-0.011237	
130.2600	-227.531	-0.011249	
130.2800	-228.531	-0.011260	
130.3000	-229.529	-0.011269	
130.3200	-230.525	-0.011282	
130.3400	-231.521	-0.011293	
130.3600	-232.518	-0.011310	
130.3800	-233.517	-0.011326	
130.4000	-234.514	-0.011339	
130.4200	-235.508	-0.011351	
130.4400	-236.503	-0.011363	
130.4600	-237.501	-0.011371	
130.4800	-238.497	-0.011382	
130.5000	-239.493	-0.011385	
130.5200	-240.488	-0.011395	
130.5400	-241.487	-0.011406	
130.5600	-242.485	-0.011420	
130.5800	-243.482	-0.011434	
130.6000	-244.475	-0.011446	
130.6200	-245.471	-0.011459	
130.6400	-246.466	-0.011469	
130.6600	-247.463	-0.011481	
130.6800	-248.462	-0.011490	
130.7000	-249.460	-0.011494	
130.7200	-250.455	-0.011500	
130.7400	-251.456	-0.011508	
130.7600	-252.455	-0.011520	
130.7800	-253.450	-0.011535	
130.8000	-254.446	-0.011550	
130.8200	-255.443	-0.011567	
130.8400	-256.437	-0.011580	
130.8600	-257.427	-0.011590	
130.8800	-258.417	-0.011598	
130.9000	-259.410	-0.011602	
130.9200	-260.409	-0.011610	
130.9400	-261.410	-0.011623	
130.9600	-262.410	-0.011632	
130.9800	-263.406	-0.011648	
131.0000	-264.403	-0.011661	
131.0200	-265.401	-0.011676	
131.0400	-266.400	-0.011694	
131.0600	-267.398	-0.011709	
131.0800	-268.398	-0.011720	
131.1000	-269.398	-0.011731	
131.1200	-270.393	-0.011738	
131.1400	-271.388	-0.011745	
131.1600	-272.387	-0.011760	
131.1800	-273.391	-0.011774	
131.2000	-274.399	-0.011790	
131.2200	-275.405	-0.011809	
131.2400	-276.405	-0.011827	
131.2600	-277.401	-0.011839	
131.2800	-278.401	-0.011854	
131.3000	-279.398	-0.011862	
131.3200	-280.396	-0.011872	
131.3400	-281.393	-0.011883	
131.3600	-282.391	-0.011891	
131.3800	-283.386	-0.011903	
131.4000	-284.378	-0.011919	
131.4200	-285.372	-0.011935	
131.4400	-286.372	-0.011953	
131.4600	-287.371	-0.011969	
131.4800	-288.368	-0.011981	
131.5000	-289.365	-0.011997	
131.5200	-290.355	-0.012010	
131.5400	-291.348	-0.012023	
131.5600	-292.342	-0.012031	
131.5800	-293.338	-0.012046	
131.6000	-294.328	-0.012058	
131.6200	-295.325	-0.012077	
131.6400	-296.317	-0.012094	
131.6600	-297.315	-0.012113	
131.6800	-298.311	-0.012136	
131.7000	-299.311	-0.012156	
131.7200	-300.309	-0.012174	
131.7400	-301.306	-0.012189	
131.7600	-302.300	-0.012203	
131.7800	-303.294	-0.012219	
131.8000	-304.293	-0.012235	
131.8200	-305.285	-0.012252	
131.8400	-306.282	-0.012270	
131.8600	-307.274	-0.012290	
131.8800	-308.266	-0.012313	
131.9000	-309.257	-0.012331	
131.9200	-310.255	-0.012355	
131.9400	-311.253	-0.012375	
131.9600	-312.252	-0.012395	
131.9800	-313.248	-0.012411	
132.0000	-314.246	-0.012424	
132.0200	-315.242	-0.012439	
132.0400	-316.240	-0.012454	
132.0600	-317.239	-0.012474	
132.0800	-318.241	-0.012494	
132.1000	-319.243	-0.012521	
132.1200	-320.243	-0.012544	
132.1400	-321.245	-0.012567	
132.1600	-322.241	-0.012589	
132.1800	-323.243	-0.012606	
132.2000	-324.249	-0.012625	
132.2200	-325.254	-0.012644	
132.2400	-326.257	-0.012660	
132.2600	-327.255	-0.012680	
132.2800	-328.256	-0.012701	
132.3000	-329.255	-0.012724	
132.3200	-330.251	-0.012752	
132.3400	-331.245	-0.012780	
132.3600	-332.243	-0.012807	
132.3800	-333.242	-0.012832	
132.4000	-334.238	-0.012852	
132.4200	-335.230	-0.012867	
132.4400	-336.223	-0.012887	
132.4600	-337.217	-0.012905	
132.4800	-338.217	-0.012925	
132.5000	-339.212	-0.012950	
132.5200	-340.203	-0.012978	
132.5400	-341.202	-0.013008	
132.5600	-342.196	-0.013034	
132.5800	-343.196	-0.013061	
132.6000	-344.194	-0.013087	
132.6200	-345.189	-0.013113	
132.6400	-346.186	-0.013134	
132.6600	-347.188	-0.013155	
132.6800	-348.188	-0.013174	
132.7000	-349.182	-0.013198	
132.7200	-350.178	-0.013227	
132.7400	-351.181	-0.013257	
132.7600	-352.183	-0.013282	
132.7800	-353.183	-0.013312	
132.8000	-354.180	-0.013343	
132.8200	-355.183	-0.013373	
132.8400	-356.182	-0.013398	
132.8600	-357.177	-0.013421	
132.8800	-358.174	-0.013449	
132.9000	-359.167	-0.013473	
132.9200	-360.161	-0.013497	
132.9400	-361.153	-0.013524	
132.9600	-362.146	-0.013552	
132.9800	-363.140	-0.013585	
133.0000	-364.135	-0.013619	
133.0200	-365.134	-0.013649	
133.0400	-366.133	-0.013683	
133.0600	-367.129	-0.013714	
133.0800	-368.127	-0.013747	
133.1000	-369.122	-0.013779	
133.1200	-370.118	-0.013809	
133.1400	-371.114	-0.013840	
133.1600	-372.109	-0.013868	
133.1800	-373.104	-0.013899	
133.2000	-374.100	-0.013931	
133.2200	-375.101	-0.013970	
133.2400	-376.103	-0.014008	
133.2600	-377.107	-0.014045	
133.2800	-378.112	-0.014081	
133.3000	-379.109	-0.014116	
133.3200	-380.107	-0.014149	
133.3400	-381.106	-0.014182	
133.3600	-382.100	-0.014212	
133.3800	-383.096	-0.014245	
133.4000	-384.088	-0.014281	
133.4200	-385.087	-0.014316	
133.4400	-386.081	-0.014350	
133.4600	-387.074	-0.014388	
133.4800	-388.074	-0.014429	
133.5000	-389.073	-0.014472	
133.5200	-390.067	-0.014510	
133.5400	-391.062	-0.014544	
133.5600	-392.055	-0.014581	
133.5800	-393.049	-0.014614	
133.6000	-394.041	-0.014648	
133.6200	-395.039	-0.014682	
133.6400	-396.034	-0.014719	
133.6600	-397.027	-0.014758	
133.6800	-398.023	-0.014799	
133.7000	-399.017	-0.014843	
133.7200	-400.015	-0.014886	
133.7400	-401.012	-0.014929	
133.7600	-402.012	-0.014969	
133.7800	-403.009	-0.015007	
133.8000	-404.003	-0.015041	
133.8200	-404.997	-0.015079	
133.8400	-405.995	-0.015119	
133.8600	-406.991	-0.015161	
133.8800	-407.987	-0.015202	
133.9000	-408.981	-0.015244	
133.9200	-409.976	-0.015293	
133.9400	-410.968	-0.015340	
133.9600	-411.960	-0.015383	
133.9800	-412.953	-0.015426	
134.0000	-413.947	-0.015470	
134.0200	-414.943	-0.015507	
134.0400	-415.934	-0.015547	
134.0600	-416.925	-0.015589	
134.0800	-417.917	-0.015633	
134.1000	-418.913	-0.015679	
134.1200	-419.910	-0.015729	
134.1400	-420.909	-0.015777	
134.1600	-421.906	-0.015826	
134.1800	-422.902	-0.015871	
134.2000	-423.899	-0.015917	
134.2200	-424.895	-0.015962	
134.2400	-425.896	-0.016006	
134.2600	-426.896	-0.016050	
134.2800	-427.901	-0.016096	
134.3000	-428.903	-0.016142	
134.3200	-429.904	-0.016188	
134.3400	-430.906	-0.016236	
134.3600	-431.908	-0.016283	
134.3800	-432.908	-0.016332	
134.4000	-433.909	-0.016381	
134.4200	-434.907	-0.016429	
134.4400	-435.904	-0.016475	
134.4600	-436.898	-0.016518	
134.4800	-437.893	-0.016560	
134.5000	-438.887	-0.016603	
134.5200	-439.884	-0.016652	
134.5400	-440.885	-0.016699	
134.5600	-441.880	-0.016743	
134.5800	-442.875	-0.016791	
134.6000	-443.868	-0.016839	
134.6200	-444.862	-0.016891	
134.6400	-445.861	-0.016943	
134.6600	-446.854	-0.016990	
134.6800	-447.850	-0.017039	
134.7000	-448.847	-0.017081	
134.7200	-449.842	-0.017125	
134.7400	-450.839	-0.017170	
134.7600	-451.836	-0.017216	
134.7800	-452.836	-0.017264	
134.8000	-453.837	-0.017311	
134.8200	-454.838	-0.017361	
134.8400	-455.838	-0.017410	
134.8600	-456.835	-0.017461	
134.8800	-457.833	-0.017513	
134.9000	-458.831	-0.017561	
134.9200	-459.826	-0.017609	
134.9400	-460.821	-0.017649	
134.9600	-461.810	-0.017691	
134.9800	-462.807	-0.017738	
135.0000	-463.803	-0.017785	
135.0200	-464.800	-0.017838	
135.0400	-465.797	-0.017888	
135.0600	-466.797	-0.017939	
135.0800	-467.792	-0.017988	
135.1000	-468.789	-0.018038	
135.1200	-469.786	-0.018087	
135.1400	-470.786	-0.018135	
135.1600	-471.784	-0.018181	
135.1800	-472.779	-0.018230	
135.2000	-473.774	-0.018277	
135.2200	-474.772	-0.018325	
135.2400	-475.771	-0.018378	
135.2600	-476.773	-0.018430	
135.2800	-477.777	-0.018482	
135.3000	-478.782	-0.018538	
135.3200	-479.785	-0.018591	
135.3400	-480.784	-0.018641	
135.3600	-481.783	-0.018688	
135.3800	-482.779	-0.018733	
135.4000	-483.780	-0.018780	
135.4200	-484.781	-0.018830	
135.4400	-485.779	-0.018883	
135.4600	-486.771	-0.018934	
135.4800	-487.764	-0.018987	
135.5000	-488.762	-0.019038	
135.5200	-489.761	-0.019091	
135.5400	-490.758	-0.019143	
135.5600	-491.757	-0.019192	
135.5800	-492.755	-0.019243	
135.6000	-493.752	-0.019290	
135.6200	-494.744	-0.019336	
135.6400	-495.738	-0.019380	
135.6600	-496.735	-0.019430	
135.6800	-497.734	-0.019484	
135.7000	-498.731	-0.019542	
135.7200	-499.727	-0.019602	
135.7400	-500.720	-0.019657	
135.7600	-501.716	-0.019709	
135.7800	-502.713	-0.019765	
135.8000	-503.711	-0.019815	
135.8200	-504.710	-0.019866	
135.8400	-505.705	-0.019917	
135.8600	-506.701	-0.019968	
135.8800	-507.696	-0.020018	
135.9000	-508.690	-0.020074	
135.9200	-509.686	-0.020130	
135.9400	-510.683	-0.020188	
135.9600	-511.676	-0.020251	
135.9800	-512.670	-0.020306	
136.0000	-513.662	-0.020361	
136.0200	-514.655	-0.020414	
136.0400	-515.648	-0.020463	
136.0600	-516.648	-0.020512	
136.0800	-517.644	-0.020564	
136.1000	-518.642	-0.020614	
136.1200	-519.637	-0.020667	
136.1400	-520.636	-0.020723	
136.1600	-521.636	-0.020778	
136.1800	-522.634	-0.020833	
136.2000	-523.635	-0.020892	
136.2200	-524.635	-0.020946	
136.2400	-525.633	-0.021001	
136.2600	-526.631	-0.021047	
136.2800	-527.632	-0.021094	
136.3000	-528.634	-0.021145	
136.3200	-529.634	-0.021197	
136.3400	-530.637	-0.021250	
136.3600	-531.638	-0.021305	
136.3800	-532.638	-0.021363	
136.4000	-533.638	-0.021417	
136.4200	-534.638	-0.021479	
136.4400	-535.641	-0.021538	
136.4600	-536.639	-0.021592	
136.4800	-537.632	-0.021647	
136.5000	-538.629	-0.021700	
136.5200	-539.623	-0.021751	
136.5400	-540.618	-0.021801	
136.5600	-541.615	-0.021854	
136.5800	-542.610	-0.021914	
136.6000	-543.605	-0.021975	
136.6200	-544.600	-0.022033	
136.6400	-545.596	-0.022093	
136.6600	-546.592	-0.022151	
136.6800	-547.590	-0.022208	
136.7000	-548.586	-0.022264	
136.7200	-549.578	-0.022318	
136.7400	-550.574	-0.022367	
136.7600	-551.566	-0.022416	
136.7800	-552.559	-0.022470	
136.8000	-553.560	-0.022523	
136.8200	-554.560	-0.022581	
136.8400	-555.561	-0.022640	
136.8600	-556.560	-0.022702	
136.8800	-557.560	-0.022760	
136.9000	-558.558	-0.022815	
136.9200	-559.557	-0.022867	
136.9400	-560.558	-0.022923	
136.9600	-561.555	-0.022971	
136.9800	-562.552	-0.023024	
137.0000	-563.546	-0.023076	
137.0200	-564.539	-0.023124	
137.0400	-565.535	-0.023180	
137.0600	-566.533	-0.023237	
137.0800	-567.531	-0.023297	
137.1000	-568.532	-0.023354	
137.1200	-569.526	-0.023412	
137.1400	-570.520	-0.023467	
137.1600	-571.514	-0.023520	
137.1800	-572.508	-0.023568	
137.2000	-573.505	-0.023621	
137.2200	-574.504	-0.023675	
137.2400	-575.502	-0.023730	
137.2600	-576.494	-0.023782	
137.2800	-577.492	-0.023840	
137.3000	-578.488	-0.023895	
137.3200	-579.490	-0.023951	
137.3400	-580.493	-0.024010	
137.3600	-581.493	-0.024062	
137.3800	-582.490	-0.024113	
137.4000	-583.488	-0.024158	
137.4200	-584.480	-0.024203	
137.4400	-585.478	-0.024251	
137.4600	-586.477	-0.024299	
137.4800	-587.473	-0.024350	
137.5000	-588.472	-0.024404	
137.5200	-589.464	-0.024451	
137.5400	-590.454	-0.024497	
137.5600	-591.448	-0.024543	
137.5800	-592.445	-0.024591	
137.6000	-593.440	-0.024634	
137.6200	-594.435	-0.024675	
137.6400	-595.432	-0.024716	
137.6600	-596.426	-0.024757	
137.6800	-597.422	-0.024800	
137.7000	-598.418	-0.024847	
137.7200	-599.418	-0.024893	
137.7400	-600.416	-0.024941	
137.7600	-601.412	-0.024986	
137.7800	-602.408	-0.025027	
137.8000	-603.405	-0.025066	
137.8200	-604.399	-0.025104	
137.8400	-605.398	-0.025142	
137.8600	-606.396	-0.025177	
137.8800	-607.396	-0.025214	
137.9000	-608.396	-0.025249	
137.9200	-609.391	-0.025290	
137.9400	-610.386	-0.025330	
137.9600	-611.379	-0.025371	
137.9800	-612.374	-0.025409	
138.0000	-613.366	-0.025448	
138.0200	-614.359	-0.025479	
138.0400	-615.346	-0.025512	
138.0600	-616.337	-0.025542	
138.0800	-617.329	-0.025574	
138.1000	-618.324	-0.025604	
138.1200	-619.319	-0.025639	
138.1400	-620.316	-0.025668	
138.1600	-621.313	-0.025699	
138.1800	-622.313	-0.025734	
138.2000	-623.309	-0.025769	
138.2200	-624.303	-0.025800	
138.2400	-625.302	-0.025827	
138.2600	-626.301	-0.025853	
138.2800	-627.295	-0.025877	
138.3000	-628.291	-0.025900	
138.3200	-629.292	-0.025922	
138.3400	-630.295	-0.025948	
138.3600	-631.302	-0.025974	
138.3800	-632.309	-0.025999	
138.4000	-633.312	-0.026023	
138.4200	-634.313	-0.026049	
138.4400	-635.313	-0.026071	
138.4600	-636.316	-0.026095	
138.4800	-637.314	-0.026117	
138.5000	-638.313	-0.026136	
138.5200	-639.313	-0.026148	
138.5400	-640.309	-0.026163	
138.5600	-641.305	-0.026178	
138.5800	-642.303	-0.026196	
138.6000	-643.305	-0.026216	
138.6200	-644.304	-0.026234	
138.6400	-645.305	-0.026253	
138.6600	-646.301	-0.026267	
138.6800	-647.295	-0.026280	
138.7000	-648.291	-0.026292	
138.7200	-649.284	-0.026306	
138.7400	-650.282	-0.026318	
138.7600	-651.280	-0.026329	
138.7800	-652.272	-0.026339	
138.8000	-653.271	-0.026348	
138.8200	-654.264	-0.026360	
138.8400	-655.257	-0.026376	
138.8600	-656.255	-0.026392	
138.8800	-657.257	-0.026401	
138.9000	-658.257	-0.026410	
138.9200	-659.253	-0.026413	
138.9400	-660.247	-0.026419	
138.9600	-661.241	-0.026423	
138.9800	-662.236	-0.026430	
139.0000	-663.238	-0.026438	
139.0200	-664.236	-0.026446	
139.0400	-665.233	-0.026451	
139.0600	-666.229	-0.026457	
139.0800	-667.222	-0.026461	
139.1000	-668.217	-0.026463	
139.1200	-669.212	-0.026469	
139.1400	-670.212	-0.026472	
139.1600	-671.213	-0.026474	
139.1800	-672.213	-0.026473	
139.2000	-673.210	-0.026479	
139.2200	-674.208	-0.026483	
139.2400	-675.206	-0.026491	
139.2600	-676.208	-0.026496	
139.2800	-677.208	-0.026499	
139.3000	-678.207	-0.026500	
139.3200	-679.199	-0.026500	
139.3400	-680.195	-0.026497	
139.3600	-681.194	-0.026495	
139.3800	-682.192	-0.026493	
139.4000	-683.193	-0.026491	
139.4200	-684.196	-0.026492	
139.4400	-685.196	-0.026491	
139.4600	-686.194	-0.026494	
139.4800	-687.192	-0.026494	
139.5000	-688.188	-0.026497	
139.5200	-689.180	-0.026493	
139.5400	-690.175	-0.026491	
139.5600	-691.170	-0.026484	
139.5800	-692.162	-0.026482	
139.6000	-693.155	-0.026478	
139.6200	-694.151	-0.026475	
139.6400	-695.149	-0.026476	
139.6600	-696.147	-0.026479	
139.6800	-697.144	-0.026480	
139.7000	-698.143	-0.026482	
139.7200	-699.140	-0.026483	
139.7400	-700.134	-0.026482	
139.7600	-701.129	-0.026478	
139.7800	-702.122	-0.026471	
139.8000	-703.115	-0.026466	
139.8200	-704.110	-0.026463	
139.8400	-705.107	-0.026460	
139.8600	-706.101	-0.026459	
139.8800	-707.102	-0.026461	
139.9000	-708.102	-0.026465	
139.9200	-709.103	-0.026469	
139.9400	-710.099	-0.026471	
139.9600	-711.092	-0.026467	
139.9800	-712.084	-0.026463	
140.0000	-713.080	-0.026459	
140.0200	-714.074	-0.026448	
140.0400	-714.978	-0.026399	
140.0600	-715.758	-0.026323	
140.0800	-716.414	-0.026228	
140.1000	-716.949	-0.026114	
140.1200	-717.360	-0.025979	
140.1400	-717.646	-0.025828	
140.1600	-717.811	-0.025662	
140.1800	-717.846	-0.025480	
140.2000	-717.750	-0.025278	
140.2200	-717.531	-0.025059	
140.2400	-717.191	-0.024829	
140.2600	-716.729	-0.024584	
140.2800	-716.144	-0.024332	
140.3000	-715.433	-0.024068	
140.3200	-714.596	-0.023790	
140.3400	-713.631	-0.023507	
140.3600	-712.633	-0.023252	
140.3800	-711.636	-0.023017	
140.4000	-710.640	-0.022795	
140.4200	-709.647	-0.022580	
140.4400	-708.651	-0.022373	
140.4600	-707.654	-0.022175	
140.4800	-706.653	-0.021985	
140.5000	-705.659	-0.021798	
140.5200	-704.664	-0.021619	
140.5400	-703.672	-0.021443	
140.5600	-702.678	-0.021270	
140.5800	-701.677	-0.021103	
140.6000	-700.681	-0.020939	
140.6200	-699.683	-0.020777	
140.6400	-698.689	-0.020619	
140.6600	-697.695	-0.020467	
140.6800	-696.701	-0.020321	
140.7000	-695.707	-0.020176	
140.7200	-694.714	-0.020028	
140.7400	-693.714	-0.019889	
140.7600	-692.715	-0.019755	
140.7800	-691.721	-0.019615	
140.8000	-690.729	-0.019478	
140.8200	-689.735	-0.019344	
140.8400	-688.735	-0.019209	
140.8600	-687.737	-0.019077	
140.8800	-686.738	-0.018948	
140.9000	-685.744	-0.018825	
140.9200	-684.746	-0.018702	
140.9400	-683.750	-0.018585	
140.9600	-682.751	-0.018469	
140.9800	-681.751	-0.018352	
141.0000	-680.750	-0.018235	
141.0200	-679.752	-0.018115	
141.0400	-678.750	-0.018006	
141.0600	-677.751	-0.017895	
141.0800	-676.754	-0.017781	
141.1000	-675.752	-0.017674	
141.1200	-674.753	-0.017567	
141.1400	-673.754	-0.017459	
141.1600	-672.757	-0.017354	
141.1800	-671.761	-0.017251	
141.2000	-670.764	-0.017151	
141.2200	-669.766	-0.017049	
141.2400	-668.769	-0.016948	
141.2600	-667.772	-0.016850	
141.2800	-666.780	-0.016754	
141.3000	-665.787	-0.016658	
141.3200	-664.794	-0.016561	
141.3400	-663.797	-0.016470	
141.3600	-662.803	-0.016374	
141.3800	-661.807	-0.016278	
141.4000	-660.808	-0.016182	
141.4200	-659.812	-0.016087	
141.4400	-658.814	-0.015994	
141.4600	-657.814	-0.015902	
141.4800	-656.815	-0.015813	
141.5000	-655.815	-0.015728	
141.5200	-654.817	-0.015643	
141.5400	-653.822	-0.015555	
141.5600	-652.828	-0.015470	
141.5800	-651.831	-0.015386	
141.6000	-650.831	-0.015299	
141.6200	-649.833	-0.015213	
141.6400	-648.837	-0.015128	
141.6600	-647.840	-0.015040	
141.6800	-646.844	-0.014958	
141.7000	-645.848	-0.014874	
141.7200	-644.852	-0.014793	
141.7400	-643.854	-0.014712	
141.7600	-642.856	-0.014636	
141.7800	-641.862	-0.014559	
141.8000	-640.870	-0.014482	
141.8200	-639.875	-0.014402	
141.8400	-638.877	-0.014325	
141.8600	-637.880	-0.014252	
141.8800	-636.879	-0.014176	
141.9000	-635.878	-0.014100	
141.9200	-634.876	-0.014026	
141.9400	-633.876	-0.013951	
141.9600	-632.870	-0.013877	
141.9800	-631.867	-0.013801	
142.0000	-630.863	-0.013725	
142.0200	-629.859	-0.013651	
142.0400	-628.858	-0.013580	
142.0600	-627.863	-0.013511	
142.0800	-626.863	-0.013438	
142.1000	-625.864	-0.013369	
142.1200	-624.864	-0.013300	
142.1400	-623.862	-0.013232	
142.1600	-622.862	-0.013163	
142.1800	-621.862	-0.013094	
142.2000	-620.866	-0.013027	
142.2200	-619.875	-0.012955	
142.2400	-618.879	-0.012883	
142.2600	-617.883	-0.012811	
142.2800	-616.890	-0.012746	
142.3000	-615.900	-0.012682	
142.3200	-614.908	-0.012620	
142.3400	-613.914	-0.012557	
142.3600	-612.922	-0.012497	
142.3800	-611.923	-0.012431	
142.4000	-610.929	-0.012372	
142.4200	-609.935	-0.012308	
142.4400	-608.938	-0.012245	
142.4600	-607.946	-0.012182	
142.4800	-606.955	-0.012117	
142.5000	-605.956	-0.012051	
142.5200	-604.958	-0.011985	
142.5400	-603.959	-0.011925	
142.5600	-602.965	-0.011868	
142.5800	-601.971	-0.011810	
142.6000	-600.979	-0.011749	
142.6200	-599.982	-0.011692	
142.6400	-598.986	-0.011633	
142.6600	-597.996	-0.011577	
142.6800	-596.999	-0.011519	
142.7000	-596.007	-0.011466	
142.7200	-595.013	-0.011405	
142.7400	-594.017	-0.011346	
142.7600	-593.023	-0.011286	
142.7800	-592.025	-0.011223	
142.8000	-591.029	-0.011166	
142.8200	-590.036	-0.011112	
142.8400	-589.043	-0.011057	
142.8600	-588.048	-0.011003	
142.8800	-587.050	-0.010947	
142.9000	-586.056	-0.010894	
142.9200	-585.060	-0.010841	
142.9400	-584.064	-0.010790	
142.9600	-583.068	-0.010737	
142.9800	-582.065	-0.010681	
143.0000	-581.065	-0.010625	
143.0200	-580.062	-0.010568	
143.0400	-579.062	-0.010512	
143.0600	-578.059	-0.010455	
